title, url, source_name, topic, sentiment
Federal budget shows willingness to counter U.S. China critical mineral strategies: B.C. expert, https://winnipegsun.com/uncategorized/federal-budget-shows-willingness-to-counter-u-s-china-critical-mineral-strategies-b-c-expert, winnipegsun, International Partnerships, Neutral
Terry Glavin: China couldn't be more pleased to have Carney as prime minister, https://winnipegsun.com/uncategorized/terry-glavin-china-couldnt-be-more-pleased-to-have-carney-as-prime-minister, winnipegsun, International Relations, Negative
EDITORIAL: No data on criminals granted citizenship, https://winnipegsun.com/uncategorized/editorial-no-data-on-criminals-granted-citizenship, winnipegsun, Public Safety, Neutral
Carney meets with N.B. premier province expects to be on nation-building projects list, https://globalnews.ca/news/11520020/carney-new-brunswick-softwood-lumber-nation-building-projects/, globalnews, National Development, Positive
Green finance was supposed to contribute solutions to climate change—so far it's fallen well short, https://phys.org/news/2025-11-green-contribute-solutions-climate-fallen.html, phys.org, Finance & Climate Policies, Negative
Major Power Transmission Line to Be Fast-Tracked by Carney, https://financialpost.com/pmn/business-pmn/major-power-transmission-line-to-be-fast-tracked-by-carney, financialpost, National Development, Positive
LILLEY: Mark Carney's highly-touted project list is hardly ambitious, https://torontosun.com/opinion/lilley-mark-carneys-highly-touted-project-list-is-hardly-ambitious, torontosun, National Development, Positive
Mark Carney's 'major projects' plan major disappointment: Poilievre, https://torontosun.com/news/national/mark-carneys-major-projects-plan-major-disappointment-poilievre, torontosun, National Development, Negative
In the news today: Major projects list updated budget infrastructure plan supported, https://winnipegsun.com/pmn/in-the-news-today-major-projects-list-updated-budget-infrastructure-plan-supported, winnipegsun, National Development, Neutral
Carney calls 2nd batch of major projects ‘transformational’, https://globalnews.ca/news/11524145/carney-major-projects/, globalnews, National Development, Neutral
Mark Carney unveils latest round of 'nation-building projects', https://torontosun.com/news/national/mark-carney-canada-nation-building-projects, torontosun, National Development, Neutral
What is Ksi Lisims LNG B.C. project being fast tracked by Feds?, https://financialpost.com/pmn/what-is-ksi-lisims-lng-b-c-project-being-fast-tracked-by-feds, financialpost, National Development, Negative
B.C. power line and Ksi Lisims LNG added to federal government's major-projects list, https://financialpost.com/pmn/b-c-power-line-and-ksi-lisims-lng-added-to-federal-governments-major-projects-list, financialpost, National Development, Neutral
New Brunswick's Sisson Mine added to Ottawa's list of 'nation-building' projects, https://globalnews.ca/news/11524707/sisson-mine-nation-building-projects/, globalnews, National Development, Neutral
2 B.C. major projects on Mark Carney’s list for possible fast-track approval, https://globalnews.ca/news/11524927/2-bc-projects-mark-carney-list-major-projects-fast-track-approval/, globalnews, National Development, Neutral
LILLEY: Mark Carney’s projects lag as U.S. investment surges, https://torontosun.com/opinion/columnists/carney-isnt-serious-on-major-projects-or-trade, torontosun, National Development, Negative
A look at the second batch of projects being weighed by the Major Projects Office, https://financialpost.com/pmn/a-look-at-the-second-batch-of-projects-being-weighed-by-the-major-projects-office, financialpost, National Development, Neutral
Major projects list has some Indigenous support but more needed: Carney, https://globalnews.ca/news/11526079/indigenous-groups-support-mark-carney-major-projects/, globalnews, Indigenous Affairs, Positive
Mark Carney attends launch of new branch of Montreal-area light rail network, https://globalnews.ca/news/11526460/montreal-area-light-rail-network/, globalnews, Public Transportation, Neutral
Canadian oil and gas producers applaud Ottawa’s latest major projects list, https://globalnews.ca/news/11526724/canada-major-projects-oil-and-gas-producers/, globalnews, National Development, Negative
