publishedAt, title, description, url, source_name,  topic,  sentiment
2025-01-22, Mark Carney gains four more key endorsements in Liberal leadership race, "On Tuesday,  Indigenous Services Minister Patty Hajdu,  Crown-Indigenous Relations and Northern Affairs Minister Gary Anandasangaree and former housing minister S...", https://www.nationalobserver.com/2025/01/22/news/mark-carney-four-endorsements-liberal-leadership-race, nationalobserver.com, Leadership Campaign, Positive
2025-01-25, Transport Minister Anita Anand endorses Mark Carney for Liberal leader, Transport Minister Anita Anand announced Saturday afternoon she’s backing Mark Carney for Liberal leader — another key endorsement as more of Prime Minister..., https://www.cbc.ca/news/politics/anand-endorses-carney-liberal-leader-1.7441756?cmp=rss, cbc.ca, Leadership Campaign, Positive
2025-02-07, Mark Carney was made for this moment, Forget about a carbon tax election. Canadians are being thrust — very much against their will — into a much more serious and sobering conversation: what if..., https://www.nationalobserver.com/2025/02/07/opinion/mark-carney-tariffs-Trump-Trudeau-election, nationalobserver.com, Political Commentary, Neutral
2025-02-13, Liberal leadership candidate Mark Carney addresses Trump,  Canada’s economy in Kelowna Carney addressed President Donald Trump's plan to make Canada the 51st state as well as his ongoing tariff threats., https://globalnews.ca/news/11016777/liberal-leadership-candidate-mark-carney-kelowna/, globalnews.ca, Leadership Campaign, Positive
2025-02-16, Michael Higgins: Mark Carney follows Trudeau's anti-Israel lead, Liberal leadership candidates Mark Carney and Frank Baylis couldn't even bring themselves to mention the hostages, https://nationalpost.com/opinion/mark-carney-follows-trudeaus-anti-israel-lead, nationalpost.com, Political Commentary, Negative
2025-02-16, Liberal leadership hopeful Mark Carney says he'd run a deficit to 'invest and grow' Canada's economy, "Liberal leadership hopeful Mark Carney confirmed Sunday that a federal government led by him would run a deficit “to invest and grow” Canada’s economy,  bu...", https://www.cbc.ca/news/politics/liberal-leadership-hopeful-mark-carney-says-he-d-run-a-deficit-to-invest-and-grow-canada-s-economy-1.7460774?cmp=rss, cbc.ca, Federal Budget, Neutral
2025-02-18, Mark Carney trouncing Liberal leadership rivals at fundraising, Former central banker Mark Carney is dominating the fundraising field in the race for the federal Liberal leadership., https://toronto.citynews.ca/2025/02/18/mark-carney-federal-liberal-leadership-fundraising/, 680news.com, Leadership Campaign, Positive
2025-02-20, Finance Minister Dominic LeBlanc endorses Mark Carney for Liberal leader, "LeBlanc’s endorsement adds to a sizeable number of Liberal MPs already behind Carney,  with more than 80 backing his candidacy so far.", https://nationalpost.com/news/politics/dominic-leblanc-endorses-mark-carney, nationalpost.com, Leadership Campaign, Positive
2025-02-24, Liberal leadership hopeful Mark Carney pledges temporary cap on immigration, Carney is also pledging to double the pace of new housing construction over a decade., https://nationalpost.com/news/canada/liberal-leadership-hopeful-mark-carney-pledges-temporary-cap-on-immigration, nationalpost.com, Leadership Campaign, Neutral
2025-02-25, Bonnie Crombie endorses Mark Carney as federal Liberal leader, "Carney currently leads in endorsements,  polling and fundraising,  and he's the subject of frequent attacks from Poilievre and his caucus.", https://toronto.citynews.ca/2025/02/25/bonnie-crombie-endorses-mark-carney-liberal-party-leader/, 680news.com, Leadership Campaign, Positive
2025-02-26, Mark Carney has answered some questions — but many more remain, It would be a true surprise now if Carney somehow did not become the 14th leader in the history of the Liberal Party of Canada on March 9. But even if Carney is..., https://www.cbc.ca/news/politics/liberal-leadership-debate-carney-gould-analysis-1.7469306?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-03-03, Matthew Lau: Mark Carney is nothing like Paul Martin, "Carney's budgets accounting tricks,  tax plans opposite of deficit slaying former prime minister", https://nationalpost.com/opinion/matthew-lau-mark-carney-is-nothing-like-paul-martin, nationalpost.com, Political Commentary, Negative
2025-03-05, Michael Higgins: Mark Carney and the truth don't get along, The Liberal leadership frontrunner seems to think that politics is the art of the inexactitude, https://nationalpost.com/opinion/michael-higgins-mark-carney-and-the-truth-dont-get-along, nationalpost.com, Political Commentary, Negative
2025-03-09, Mark Carney set to become Canada's new prime minister after Justin Trudeau's resignation, "As Trump's trade war looms over Canada,  the ruling Liberal Party has chosen veteran economist Mark Carney to replace Justin Trudeau.", https://www.cbsnews.com/news/mark-carney-canada-prime-minister-justin-trudeaus-resignation/, cbsnews.com, Leadership Campaign, Neutral
2025-03-09, Mark Carney wins Liberal Party nomination to replace Trudeau as Canada's next PM, The Liberal Party's new leader Mark Carney is expected to call a general election for late April or early May where he will go up against Conservative leader Pi..., https://www.foxnews.com/world/mark-carney-wins-liberal-party-nomination-replace-trudeau-canadas-next-pm, foxnews.com, Leadership Campaign, Positive
2025-03-09, "Who is Mark Carney,  Canada's next prime minister?", "How Mark Carney went from his upbringing in Alberta to central banker in tough economic times,  and now leader of the Liberal Party of Canada and prime minister-...", https://www.cbc.ca/player/play/video/9.6678219, cbc.ca, Leadership Campaign, Neutral
2025-03-10, Jamie Sarkonak: Mark Carney has forever politicized the Bank of Canada, "It doesn't matter that he is no longer in the role,  the fact that he once held it is enough", https://nationalpost.com/opinion/jamie-sarkonak-mark-carney-has-forever-politicized-the-bank-of-canada, nationalpost.com, Political Commentary, Negative
2025-03-10, Mark Carney steps into an unprecedented moment, Carney is the 14th leader of the Liberal Party and he will soon become the 24th prime minister of Canada. The question now is how long he will occupy that offic..., https://www.cbc.ca/news/politics/carney-liberal-leadership-analysis-wherry-1.7479094?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-03-10, Better French and clearer answers: Even hardcore Liberals think Mark Carney needs improvement politically, "Mark Carney be Liberal leader,  after a landslide win,  but his skills as a politician need work,  say some of his supporters.", https://nationalpost.com/news/politics/liberals-think-mark-carney-needs-improvement-politically, nationalpost.com, Leadership Campaign, Negative
2025-03-10, Mark Carney dominated the race to replace Justin Trudeau. Now what?, "In something of a political blowout,  Mark Carney was elected as leader of the Liberal Party and as the next prime minister. Here's what comes next.", https://www.cbc.ca/news/politics/mark-carney-next-prime-minister-liberal-leader-what-next-1.7479097?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-03-10, "Mark Carney,  Canada’s next prime minister,  vows to fight Trump’s tariffs", Former central banker Mark Carney won the race to become leader of Canada’s ruling Liberal Party and will succeed Justin Trudeau as prime minister. Carney wil..., https://www.nbcnews.com/video/mark-carney-canada-s-next-prime-minister-vows-to-fight-trump-s-tariffs-233936965528, nbcnews.com, Trade Disputes, Positive
2025-03-10, Mark Carney to be next Canada PM…, "From the Guardian: Mark Carney,  the former central banker who oversaw the response to financial crises in North America and the UK,  will become the next prime m...", https://sluggerotoole.com/2025/03/10/mark-carney-to-be-next-canada-pm/, sluggerotoole.com, Trade Disputes, Positive
2025-03-10, Mark Carney elected as new Liberal leader. What’s next? - National, An early federal election call is widely expected to follow in the coming days or weeks after Mark Carney is installed as Canada's prime minister., https://globalnews.ca/news/11074213/mark-carney-liberal-party-leadership/, globalnews.ca, Leadership Campaign, Neutral
2025-03-10, Mark Carney selected next Canadian prime minister, The political novice will succeed outgoing Prime Minister Justin Trudeau, https://theweek.com/politics/mark-carney-prime-minister-canada-election, theweek.com, Leadership Campaign, Neutral
2025-03-10, "After landslide victory,  Mark Carney meets with Trudeau as transition to power begins", Prime minister-designate Mark Carney met with Prime Minister Justin Trudeau Monday as the new Liberal leader takes the reins of power after a landslide victory..., https://www.cbc.ca/news/politics/mark-carney-day-1-1.7479519?cmp=rss, cbc.ca, Political Commentary, Neutral
2025-03-10, Mark Carney becomes prime minister-designate: What’s next?, "In a landslide win,  Mark Carney became leader of the federal Liberal Party. Political scientist Jamie Gillies  talks about why he  thinks Carney won by such a m...", https://www.cbc.ca/player/play/video/9.6679232, cbc.ca, Political Commentary, Neutral
2025-03-10, Canada’s Liberal Party Elects Mark Carney as Next Prime Minister, The former central banker plans to tackle U.S. tariffs with retaliatory measures., https://foreignpolicy.com/2025/03/10/canada-mark-carney-trudeau-liberal-party-trump-tariffs-pierre-poilievre/, foreignpolicy.com, Political Commentary, Neutral
2025-03-11, Mark Carney has put assets in blind trust,  leadership campaign says - National "The campaign said as part of a ""full and robust conflict of interest management plan, "" Carney has divested all of his assets other than personal real estate int...", https://globalnews.ca/news/11076438/mark-carney-divest-assets-blind-trust/, globalnews.ca, Political Commentary, Positive
2025-03-12, Mark Carney To Be Sworn In As Canada PM Tomorrow, "Former central banker Mark Carney will be sworn in as Canada's next prime minister on Friday morning along with his cabinet,  the governor general's office annou...", https://www.ndtv.com/world-news/mark-carney-to-be-sworn-in-as-canada-pm-tomorrow-7911974, ndtv.com, International Relations, Neutral
2025-03-12, Mark Carney will become Canada's 24th prime minister on Friday, , https://www.nationalobserver.com/2025/03/12/news/mark-carney-canada-24th-prime-minister-friday, nationalobserver.com, National Development, Neutral
2025-03-13, Conservative party,  activist group ratchet up digital ads against Mark Carney - National "Like Liberal leaders before him the Conservatives are attempting to define Liberal Leader Mark Carney to voters before he has a chance to.", https://globalnews.ca/news/11080497/conservative-digital-campaign-carney/, globalnews.ca, Political Commentary, Negative
2025-03-13, Terry Glavin: Who is this Mark Carney guy anyway?, Carney is an almost cartoonishly stereotypical figure straight out of the fever dreams of American celebrity lunatic Tucker Carlson — a World Economic Forum g..., https://nationalpost.com/opinion/terry-glavin-who-is-this-mark-carney-guy-anyway, nationalpost.com, Political Commentary, Negative
2025-03-14, Prime Minister Mark Carney sworn-in as party leaders gear up for campaign, , https://www.cbc.ca/news/politics/livestory/prime-minister-mark-carney-sworn-in-as-party-leaders-gear-up-for-campaign-9.6684524?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-03-14, Mark Carney sworn in as PM and introduces new cabinet, The new government includes 20 Trudeau-era ministers along with three new faces from the Liberal caucus., https://www.nationalobserver.com/2025/03/14/news/mark-carney-pm-cabinet, nationalobserver.com, Political Commentary, Negative
2025-03-14, Quick quotes: Reaction to Mark Carney being sworn in as prime minister, "Breaking News,  Sports,  Manitoba,  Canada", https://www.winnipegfreepress.com/canada/2025/03/14/quick-quotes-reaction-to-mark-carney-being-sworn-in-as-prime-minister, winnipegfreepress.com, Political Commentary, Neutral
2025-03-14, Prime Minister Mark Carney tries to turn the page, In the limited space of his first day as prime minister — and with an election maybe just more than a week away — Mark Carney could at least try to signal..., https://www.cbc.ca/news/politics/carney-cabinet-carbon-tax-analysis-1.7484424?cmp=rss, cbc.ca, Political Commentary, Neutral
2025-03-15, Why Mark Carney is dropping both his Irish and U.K. passports, "Monday might be the last St. Patrick's Day that Mark Carney can truly claim to be Irish,  as Canada's newly sworn-in prime minister moves to renounce both h...", https://www.cbc.ca/news/canada/dual-citizenship-prime-minister-carney-1.7481926?cmp=rss, cbc.ca, Political Commentary, Neutral
2025-03-15, "Prime Minister Mark Carney to visit France,  U.K. for first foreign trip", "Breaking News,  Sports,  Manitoba,  Canada", https://www.winnipegfreepress.com/canada/2025/03/15/prime-minister-mark-carney-to-visit-france-u-k-for-first-foreign-trip, winnipegfreepress.com, International Relations, Positive
2025-03-17, Mark Carney calls Canada 'the most European of non-European countries' while in France, Mark Carney holds Irish and British citizenship and chose to make his first trip as prime minister to France and the United Kingdom, https://nationalpost.com/news/canada/mark-carney-european-canada, nationalpost.com, Political Commentary, Negative
2025-03-18, Is Mark Carney Alberta bound? Locals say don't count on it, "With the Liberals enjoying a rare polling bump in Western Canada,  some have speculated that currently seatless Prime Minister Mark Carney.", https://nationalpost.com/news/canada/mark-carney-alberta-bound-locals-say-dont-count-on-it, nationalpost.com, Political Commentary, Negative
2025-03-19, Prime Minister Mark Carney set to host meeting with Canada’s premiers Friday, OTTAWA — Prime Minister Mark Carney is hosting a meeting with Canada’s premiers on Friday. The Prime Minister’s Office and the office of Ontario Premier D..., https://toronto.citynews.ca/2025/03/18/prime-minister-mark-carney-set-to-host-meeting-with-canadas-premiers-friday/, 680news.com, National Development, Neutral
2025-03-19, Prime Minister Mark Carney to meet with premiers on Friday, "Audrey Champoux,  Carney's lead press secretary,  says the prime minister has been clear that top priorities for his government include defending Canadians in the...", https://www.nationalobserver.com/2025/03/19/news/prime-minister-mark-carney-meet-premiers, nationalobserver.com, National Development, Neutral
2025-03-20, Prime Minister Mark Carney joins Oilers on ice for morning skate, Prime Minister Mark Carney joined the Edmonton Oilers on the ice Thursday as the NHL team prepared for a game against the Western Conference-leading Winnipeg ..., https://www.sportsnet.ca/nhl/article/prime-minister-mark-carney-joins-oilers-on-ice-for-morning-skate/, sportsnet.ca, Political Commentary, Neutral
2025-03-20, Oilers fan Mark Carney practices with team before Thursday's home game against Jets, "Prime Minister Mark Carney joined the Edmonton Oilers on the ice Thursday,  as the NHL team prepared for a game against the Western Conference-leading Winnipeg J...", https://www.cbc.ca/news/canada/edmonton/oilers-fan-mark-carney-practices-with-team-before-thursday-s-home-game-against-jets-1.7488835?cmp=rss, cbc.ca, Political Commentary, Neutral
2025-03-21, Prime Minister Mark Carney hosting a meeting with Canada’s premiers today, OTTAWA — Prime Minister Mark Carney is hosting Canada’s premiers today in Ottawa as the provinces grapple with the effects of Chinese and U.S. tariffs. The ..., https://toronto.citynews.ca/2025/03/21/prime-minister-mark-carney-hosting-a-meeting-with-canadas-premiers-today/, 680news.com, National Development, Positive
2025-03-21, Michael Taube: Heed Britain's stern warnings about Mark Carney, The British press has been far more critical of our new prime minister than our own, https://nationalpost.com/opinion/britains-stern-warnings-about-mark-carney, nationalpost.com, Political Commentary, Negative
2025-03-23, Mark Carney to kick off federal Liberal campaign from St. John's today, "The Prime Minister's Office has confirmed that after announcing the federal election today,  Mark Carney is heading to Newfoundland and Labrador.", https://www.cbc.ca/news/canada/newfoundland-labrador/carney-liberal-campaign-st-johns-1.7491017?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-03-23, Mark Carney triggers federal election for Canada - National, "Canada's new Prime Minister Mark Carney has triggered a federal election,  with voters set to head to the polls next month.", https://globalnews.ca/news/11094267/canada-election-2025-begins/, globalnews.ca, Leadership Campaign, Neutral
2025-03-24, Canada's Mark Carney calls snap election, Voters will go to the polls on April 28 to pick a new government, https://theweek.com/politics/canada-snap-election-mark-carney, theweek.com, Political Commentary, Negative
2025-03-24, Mark Carney to run in the Ottawa riding of Nepean, "Carney will be running in a riding adjacent to his main rival,  Conservative Party Leader Pierre Poilievre,  who is seeking re-election in the Ottawa-area riding ...", https://www.nationalobserver.com/2025/03/24/news/mark-carney-ottawa-riding-nepean, nationalobserver.com, Leadership Campaign, Neutral
2025-03-28, Trump says he had ‘productive call’ with Mark Carney, "U.S. President Donald Trump says he had a ""productive call"" with Prime Minister Mark Carney Friday morning.", https://toronto.citynews.ca/2025/03/28/trump-says-he-had-productive-call-with-mark-carney/, 680news.com, Trade Disputes, Neutral
2025-03-28, Trump and new Canadian Prime Minister Mark Carney speak on phone, U.S. President Donald Trump said Friday that his first call with new Canadian Prime Minister Mark Carney was “extremely productive, https://japantoday.com/category/world/trump-and-newly-minted-canadian-prime-minister-mark-carney-share-a-phone-call, japantoday.com, International Relations, Neutral
2025-03-29, NP View: Mark Carney is a mirage, Plagiarism accusations only the latest evidence he's been oversold, https://nationalpost.com/opinion/np-view-mark-carney-is-a-mirage, nationalpost.com, Political Commentary, Negative
2025-03-29, Conrad Black: Mark Carney has poor values, Canadians cannot possibly support his plans for global climate policy, https://nationalpost.com/opinion/conrad-black-mark-carney-has-poor-values, nationalpost.com, Political Commentary, Negative
2025-04-11, McKinney hits the mark with Carney impression on ‘This Hour Has 22 Minutes’, "Mark McKinney’s impression of Canada’s new prime minister may be buttoned-up and intense,  but he said the process of portraying Mark Carney on “This Hour ...", https://toronto.citynews.ca/2025/04/11/mckinney-hits-the-mark-with-carney-impression-on-this-hour-has-22-minutes/, 680news.com, Political Commentary, Neutral
2025-04-20, Mark Carney lays out his plan for 'the biggest crisis of our lifetimes', Liberal Leader Mark Carney framed his fiscal and spending plan on Saturday in terms of a crisis. Conservative Leader Pierre Poilievre dismissed it as a 'spendin..., https://www.cbc.ca/news/politics/mark-carney-lays-out-his-plan-for-the-biggest-crisis-of-our-lifetimes-1.7514504?cmp=rss, cbc.ca, National Development, Neutral
2025-04-21, "Mark Carney,  Cutthroat Capitalist", "The prime minister sells himself as a public servant,  but his private sector past reveals his true loyalties", https://thewalrus.ca/mark-carney-cutthroat-capitalist/, thewalrus.ca, Political Commentary, Negative
2025-04-24, Catherine McKenna defends Mark Carney after details emerge about his Trump call, "While Liberal Leader Mark Carney’s opponents accuse him of being dishonest about the details of his phone call with Donald Trump,  one former Liberal cabinet m...", https://www.cbc.ca/radio/asithappens/catherine-mckenna-mark-carney-1.7518016?cmp=rss, cbc.ca, Leadership Campaign, Positive
2025-04-29, Mark Carney Leads Liberals to a Stunning Victory, The party wins a historic fourth term as fear of Trump grows, https://thewalrus.ca/mark-carney-wins/, thewalrus.ca, Leadership Campaign, Positive
2025-04-29, "Mark Carney wins Nepean riding,  entering Parliament for 1st time", "Liberal Leader Mark Carney is projected to win his Ottawa riding of Nepean in Monday's federal election,  gaining a seat in Parliament for the first time.", https://globalnews.ca/news/11153486/canada-election-mark-carney-riding-result-nepean/, globalnews.ca, Leadership Campaign, Positive
2025-04-29, "Canada: Liberals Projected Winners,  Mark Carney Retains Leadership", The CBC has called the election in Canada for the Liberal Party with Prime Minister Mark Carney expected to retain leadership., https://www.breitbart.com/politics/2025/04/28/canada-liberals-projected-winners-mark-carney-retains-leadership/, breitbart.com, Leadership Campaign, Neutral
2025-04-29, Mark Carney wins his suburban Ottawa seat in Nepean, "Prime Minister Mark Carney will represent a suburban section of west Ottawa in the House of Commons,  CBC News projects.", https://www.cbc.ca/news/canada/ottawa/canada-federal-election-2025-results-nepean-1.7516414?cmp=rss, cbc.ca, Leadership Campaign, Neutral
2025-04-29, Ontario Premier Doug Ford congratulates Mark Carney on projected Liberal win, "Ontario Premier Doug Ford is congratulating Mark Carney on his projected victory for the Liberals,  and thanked both Pierre Pollievre and Jagmeet Singh for runni...", https://globalnews.ca/news/11154899/doug-ford-congratulates-mark-carney-liberal-canada-election/, globalnews.ca, Political Commentary, Positive
2025-04-30, Mark Carney: A Leader for Turbulent Times, The new Liberal government must now move swiftly and decisively, https://opencanada.org/mark-carney-a-leader-for-turbulent-times/, opencanada.org, Leadership Campaign, Positive
2025-04-30, Mark Carney needs to depolarize our politics, "Under a more proportional system,  both parties would be incentivized to compete more aggressively in all parts of the country — and rewarded for efforts aimed...", https://www.nationalobserver.com/2025/04/30/opinion/mark-carney-politics-proportional-electoral-reform, nationalobserver.com, Political Commentary, Neutral
2025-05-06, Mark Carney isn’t here to play, "By letting his opponents expose the smallness of their politics,  Carney’s will start to look bigger by comparison.", https://www.nationalobserver.com/2025/05/06/opinion/mark-carney-isnt-here-play, nationalobserver.com, Political Commentary, Positive
2025-05-09, "Not Justin Trudeau? Prove It,  Mark Carney — On Climate", "Canadians have been fed a steady diet of climate noise — photo-ops,  grand announcements,  and lofty targets — none of which have translated into serious emis...", https://www.nationalobserver.com/2025/05/07/opinion/not-justin-trudeau-prove-it-mark-carney-climate, nationalobserver.com, Political Commentary, Negative
